no,namapemda,Belana Perjalanan Dinas,Belanja Bantuan Sosial kepada Individu,Belanja Bantuan Sosial kepada Kelompok Masyarakat,Belanja Bantuan Sosial kepada Keluarga,"Belanja Bantuan Sosial kepada Lembaga Non Pemerintahan (Bidang Pendidikan, Keagamaan dan Bidang Lainnya)",Belanja Barang,Belanja Barang dan Jasa BLUD,Belanja Barang dan Jasa BOS,Belanja Bunga Utang Pinjaman kepada Lembaga Keuangan Bank (LKB),Belanja Bunga Utang Pinjaman kepada Lembaga Keuangan Bukan Bank (LKBB),Belanja Bunga Utang Pinjaman kepada Pemerintah Daerah Lain,Belanja Bunga Utang Pinjaman kepada Pemerintah Pusat,Belanja Bunga Utang Pinjaman melalui BLUD,Belanja Gaji dan Tunjangan ASN,Belanja Gaji dan Tunjangan DPRD,Belanja Gaji dan Tunjangan KDH/WKDH,Belanja Gaji dan Tunjangan MRP/MRPB,Belanja Hibah Bantuan Keuangan kepada Partai Politik,Belanja Hibah Dana BOS,Belanja Hibah kepada BUMD,Belanja Hibah kepada BUMN,"Belanja Hibah kepada Badan, Lembaga, Organisasi Kemasyarakatan yang Berbadan Hukum Indonesia",Belanja Hibah kepada Pemerintah Daerah Lainnya,Belanja Hibah kepada Pemerintah Pusat,Belanja Jasa,Belanja Pegawai BLUD,Belanja Pegawai BOS,Belanja Pemeliharaan,Belanja Penerimaan Lainnya Pimpinan DPRD serta KDH/WKDH,Belanja Penunjang Otonomi Khusus,Belanja Subsidi kepada BUMD,Belanja Subsidi kepada BUMN,Belanja Subsidi kepada Badan Usaha Milik Swasta,Belanja Subsidi kepada Koperasi,Belanja Tambahan Penghasilan ASN,Belanja Uang dan/atau Jasa untuk Diberikan kepada Pihak Ketiga/Pihak Lain/Masyarakat,Tambahan Penghasilan berdasarkan Pertimbangan Objektif Lainnya ASN
0,Kab Konawe Kepulauan,16.009205,0.14224926,0.5245505,0.0,2.3115504,9.797434,0.0,3.3840344,0.0,0.0,0.0,0.0,0.0,28.992697,3.536529,0.1322602,0.0,0.085625164,0.0,0.0,0.0,1.306896,0.0,0.0,20.205229,0.0,0.0,5.321649,0.19515175,0.0,0.0,0.0,0.0,0.0,3.8975098,0.18346572,3.9739654
1,Kab Morowali Utara,6.3504467,0.0,0.7665776,0.0,0.0,10.910925,0.0,1.9748498,0.0,0.0,0.0,0.0,0.0,32.834705,1.3207177,0.02508077,0.0,0.083973095,0.0,0.0,0.0,2.7876878,0.0,0.065706655,20.2821,0.0,0.3751237,2.0858862,0.09709124,0.0,0.0,0.0,0.0,0.0,11.024564,0.032157607,8.9824
2,Kab Musi Rawas Utara,7.9496174,0.7215665,0.3485964,0.37404573,0.0,9.279689,4.3840632,1.8661025,0.0,0.0,0.0,0.0,0.0,30.022821,3.384971,0.0372951,0.0,0.07599921,0.0,0.0,0.0,2.0883346,0.0,0.0,18.886484,0.0,2.5979848,1.9548919,0.11341797,0.0,0.0,0.0,0.0,0.0,7.924398,2.8662024,5.1235123
3,Kab. Aceh Barat,4.4355955,1.6311288,0.023426222,0.015682554,0.00042948071,5.222252,2.6818178,3.2449558,0.0,0.0,0.0,0.0,0.0,44.124947,1.3462338,0.023061786,0.0,0.08895855,0.0,0.0,0.0,3.741096,0.0,0.3735181,11.144224,4.441632,0.0,1.7172508,0.09233836,0.0,0.0,0.023946803,0.0,0.0,8.419814,0.13287744,7.074822
4,Kab. Aceh Barat Daya,3.9791844,1.1482342,0.0,0.0,0.006221658,5.9593825,9.659943,2.299138,0.0,0.0,0.0,0.0,0.0,39.687164,1.6817063,0.03270726,0.0,0.10335117,0.0,0.40931964,0.0,4.2385654,0.0,0.7017647,13.337438,2.1284618,0.0,1.4447017,0.10017852,0.0,0.0,0.0,0.0,0.0,5.8519034,0.45353925,6.7770967
5,Kab. Aceh Besar,5.353893,1.781907,0.7758665,0.0,0.0,9.989188,0.0,0.62621915,0.0,0.0,0.0,0.0,0.0,37.46987,1.4309434,0.0232776,0.0,0.057407085,4.1705174,0.0,0.0,3.7615418,0.0,0.46190718,19.89426,0.0,0.0,2.3196762,0.06910385,0.0,0.0,0.0,0.0,0.0,5.6887927,0.023090651,6.1025496
6,Kab. Aceh Jaya,3.7481236,6.3266077,0.8181708,0.45221066,0.26580825,7.520444,0.5198878,1.7312043,0.0,0.0,0.0,0.0,0.0,34.37748,1.184726,0.030338433,0.0,0.07100681,0.14105995,0.0,0.0,11.230455,0.0,0.0,17.00682,0.46506277,0.0,1.2491139,0.08641453,0.0,0.0,0.0,0.0,0.0,6.9682913,0.2261548,5.5806217
7,Kab. Aceh Selatan,4.466548,0.858533,0.09990821,0.0,0.005578631,6.1135454,9.018697,3.0408964,0.0,0.0,0.0,0.0,0.0,38.731148,1.0671685,0.025900267,0.0,0.062889434,0.0,0.0,0.0,6.1404204,0.0,0.06509045,9.359648,0.03390007,0.0,7.3326497,0.051818382,0.0,0.0,0.0,0.0,0.0,3.25398,0.63242406,9.639264
8,Kab. Aceh Singkil,5.721379,1.5586656,1.0373926,0.09802239,0.16017124,7.5024395,0.006623755,1.8033894,0.0,0.0,0.0,0.0,0.0,38.55398,1.595858,0.06246643,0.0,0.044864904,0.0,0.6597992,0.0,9.585031,0.0,0.0,15.793774,0.0,1.1211956,3.631937,0.09184942,0.0,0.35326698,0.0,0.0,0.0,4.47641,0.28720364,5.8542795
9,Kab. Aceh Tamiang,4.705561,1.698576,0.0,0.025494408,0.0,4.527265,7.7313805,3.9645162,0.0,0.0,0.0,0.0,0.0,39.06753,1.6490154,0.05944009,0.0,0.089500904,0.0,0.0,0.0,7.156638,0.0,0.025079656,12.303944,0.06839222,0.0,1.4792308,0.06684481,0.0,0.0,0.0,0.0,0.0,6.601242,0.4783059,8.302043
