no,namapemda,Nama Akun Objek,Persentase APBD,cluster
0,Kab. Aceh Barat,index,3.0,3
1,Kab. Aceh Barat,Belana Perjalanan Dinas,4.435595512390137,3
2,Kab. Aceh Barat,Belanja Bantuan Sosial kepada Individu,1.6311287879943848,3
3,Kab. Aceh Barat,Belanja Bantuan Sosial kepada Kelompok Masyarakat,0.023426221683621407,3
4,Kab. Aceh Barat,Belanja Bantuan Sosial kepada Keluarga,0.015682553872466087,3
5,Kab. Aceh Barat,"Belanja Bantuan Sosial kepada Lembaga Non Pemerintahan (Bidang Pendidikan, Keagamaan dan Bidang Lainnya)",0.00042948071495629847,3
6,Kab. Aceh Barat,Belanja Barang,5.222251892089844,3
7,Kab. Aceh Barat,Belanja Barang dan Jasa BLUD,2.6818177700042725,3
8,Kab. Aceh Barat,Belanja Barang dan Jasa BOS,3.2449557781219482,3
9,Kab. Aceh Barat,Belanja Bunga Utang Pinjaman kepada Lembaga Keuangan Bank (LKB),0.0,3
10,Kab. Aceh Barat,Belanja Bunga Utang Pinjaman kepada Lembaga Keuangan Bukan Bank (LKBB),0.0,3
11,Kab. Aceh Barat,Belanja Bunga Utang Pinjaman kepada Pemerintah Daerah Lain,0.0,3
12,Kab. Aceh Barat,Belanja Bunga Utang Pinjaman kepada Pemerintah Pusat,0.0,3
13,Kab. Aceh Barat,Belanja Bunga Utang Pinjaman melalui BLUD,0.0,3
14,Kab. Aceh Barat,Belanja Gaji dan Tunjangan ASN,44.12494659423828,3
15,Kab. Aceh Barat,Belanja Gaji dan Tunjangan DPRD,1.34623384475708,3
16,Kab. Aceh Barat,Belanja Gaji dan Tunjangan KDH/WKDH,0.023061785846948624,3
17,Kab. Aceh Barat,Belanja Gaji dan Tunjangan MRP/MRPB,0.0,3
18,Kab. Aceh Barat,Belanja Hibah Bantuan Keuangan kepada Partai Politik,0.08895854651927948,3
19,Kab. Aceh Barat,Belanja Hibah Dana BOS,0.0,3
20,Kab. Aceh Barat,Belanja Hibah kepada BUMD,0.0,3
21,Kab. Aceh Barat,Belanja Hibah kepada BUMN,0.0,3
22,Kab. Aceh Barat,"Belanja Hibah kepada Badan, Lembaga, Organisasi Kemasyarakatan yang Berbadan Hukum Indonesia",3.741096019744873,3
23,Kab. Aceh Barat,Belanja Hibah kepada Pemerintah Daerah Lainnya,0.0,3
24,Kab. Aceh Barat,Belanja Hibah kepada Pemerintah Pusat,0.37351810932159424,3
25,Kab. Aceh Barat,Belanja Jasa,11.144224166870117,3
26,Kab. Aceh Barat,Belanja Pegawai BLUD,4.44163179397583,3
27,Kab. Aceh Barat,Belanja Pegawai BOS,0.0,3
28,Kab. Aceh Barat,Belanja Pemeliharaan,1.7172508239746094,3
29,Kab. Aceh Barat,Belanja Penerimaan Lainnya Pimpinan DPRD serta KDH/WKDH,0.09233836084604263,3
30,Kab. Aceh Barat,Belanja Penunjang Otonomi Khusus,0.0,3
31,Kab. Aceh Barat,Belanja Subsidi kepada BUMD,0.0,3
32,Kab. Aceh Barat,Belanja Subsidi kepada BUMN,0.02394680306315422,3
33,Kab. Aceh Barat,Belanja Subsidi kepada Badan Usaha Milik Swasta,0.0,3
34,Kab. Aceh Barat,Belanja Subsidi kepada Koperasi,0.0,3
35,Kab. Aceh Barat,Belanja Tambahan Penghasilan ASN,8.419814109802246,3
36,Kab. Aceh Barat,Belanja Uang dan/atau Jasa untuk Diberikan kepada Pihak Ketiga/Pihak Lain/Masyarakat,0.1328774392604828,3
37,Kab. Aceh Barat,Tambahan Penghasilan berdasarkan Pertimbangan Objektif Lainnya ASN,7.074821949005127,3
38,Kab. Aceh Barat Daya,index,4.0,3
39,Kab. Aceh Barat Daya,Belana Perjalanan Dinas,3.97918438911438,3
40,Kab. Aceh Barat Daya,Belanja Bantuan Sosial kepada Individu,1.148234248161316,3
41,Kab. Aceh Barat Daya,Belanja Bantuan Sosial kepada Kelompok Masyarakat,0.0,3
42,Kab. Aceh Barat Daya,Belanja Bantuan Sosial kepada Keluarga,0.0,3
43,Kab. Aceh Barat Daya,"Belanja Bantuan Sosial kepada Lembaga Non Pemerintahan (Bidang Pendidikan, Keagamaan dan Bidang Lainnya)",0.006221658084541559,3
44,Kab. Aceh Barat Daya,Belanja Barang,5.9593825340271,3
45,Kab. Aceh Barat Daya,Belanja Barang dan Jasa BLUD,9.659942626953125,3
46,Kab. Aceh Barat Daya,Belanja Barang dan Jasa BOS,2.299138069152832,3
47,Kab. Aceh Barat Daya,Belanja Bunga Utang Pinjaman kepada Lembaga Keuangan Bank (LKB),0.0,3
48,Kab. Aceh Barat Daya,Belanja Bunga Utang Pinjaman kepada Lembaga Keuangan Bukan Bank (LKBB),0.0,3
49,Kab. Aceh Barat Daya,Belanja Bunga Utang Pinjaman kepada Pemerintah Daerah Lain,0.0,3
50,Kab. Aceh Barat Daya,Belanja Bunga Utang Pinjaman kepada Pemerintah Pusat,0.0,3
51,Kab. Aceh Barat Daya,Belanja Bunga Utang Pinjaman melalui BLUD,0.0,3
52,Kab. Aceh Barat Daya,Belanja Gaji dan Tunjangan ASN,39.687164306640625,3
53,Kab. Aceh Barat Daya,Belanja Gaji dan Tunjangan DPRD,1.6817063093185425,3
54,Kab. Aceh Barat Daya,Belanja Gaji dan Tunjangan KDH/WKDH,0.03270725905895233,3
55,Kab. Aceh Barat Daya,Belanja Gaji dan Tunjangan MRP/MRPB,0.0,3
56,Kab. Aceh Barat Daya,Belanja Hibah Bantuan Keuangan kepada Partai Politik,0.1033511683344841,3
57,Kab. Aceh Barat Daya,Belanja Hibah Dana BOS,0.0,3
58,Kab. Aceh Barat Daya,Belanja Hibah kepada BUMD,0.4093196392059326,3
59,Kab. Aceh Barat Daya,Belanja Hibah kepada BUMN,0.0,3
60,Kab. Aceh Barat Daya,"Belanja Hibah kepada Badan, Lembaga, Organisasi Kemasyarakatan yang Berbadan Hukum Indonesia",4.238565444946289,3
61,Kab. Aceh Barat Daya,Belanja Hibah kepada Pemerintah Daerah Lainnya,0.0,3
62,Kab. Aceh Barat Daya,Belanja Hibah kepada Pemerintah Pusat,0.701764702796936,3
63,Kab. Aceh Barat Daya,Belanja Jasa,13.337437629699707,3
64,Kab. Aceh Barat Daya,Belanja Pegawai BLUD,2.1284618377685547,3
65,Kab. Aceh Barat Daya,Belanja Pegawai BOS,0.0,3
66,Kab. Aceh Barat Daya,Belanja Pemeliharaan,1.4447016716003418,3
67,Kab. Aceh Barat Daya,Belanja Penerimaan Lainnya Pimpinan DPRD serta KDH/WKDH,0.10017851740121841,3
68,Kab. Aceh Barat Daya,Belanja Penunjang Otonomi Khusus,0.0,3
69,Kab. Aceh Barat Daya,Belanja Subsidi kepada BUMD,0.0,3
70,Kab. Aceh Barat Daya,Belanja Subsidi kepada BUMN,0.0,3
71,Kab. Aceh Barat Daya,Belanja Subsidi kepada Badan Usaha Milik Swasta,0.0,3
72,Kab. Aceh Barat Daya,Belanja Subsidi kepada Koperasi,0.0,3
73,Kab. Aceh Barat Daya,Belanja Tambahan Penghasilan ASN,5.851903438568115,3
74,Kab. Aceh Barat Daya,Belanja Uang dan/atau Jasa untuk Diberikan kepada Pihak Ketiga/Pihak Lain/Masyarakat,0.45353925228118896,3
75,Kab. Aceh Barat Daya,Tambahan Penghasilan berdasarkan Pertimbangan Objektif Lainnya ASN,6.777096748352051,3
76,Kab. Aceh Besar,index,5.0,1
77,Kab. Aceh Besar,Belana Perjalanan Dinas,5.353892803192139,1
78,Kab. Aceh Besar,Belanja Bantuan Sosial kepada Individu,1.7819069623947144,1
79,Kab. Aceh Besar,Belanja Bantuan Sosial kepada Kelompok Masyarakat,0.7758665084838867,1
80,Kab. Aceh Besar,Belanja Bantuan Sosial kepada Keluarga,0.0,1
81,Kab. Aceh Besar,"Belanja Bantuan Sosial kepada Lembaga Non Pemerintahan (Bidang Pendidikan, Keagamaan dan Bidang Lainnya)",0.0,1
82,Kab. Aceh Besar,Belanja Barang,9.989188194274902,1
83,Kab. Aceh Besar,Belanja Barang dan Jasa BLUD,0.0,1
84,Kab. Aceh Besar,Belanja Barang dan Jasa BOS,0.6262191534042358,1
85,Kab. Aceh Besar,Belanja Bunga Utang Pinjaman kepada Lembaga Keuangan Bank (LKB),0.0,1
86,Kab. Aceh Besar,Belanja Bunga Utang Pinjaman kepada Lembaga Keuangan Bukan Bank (LKBB),0.0,1
87,Kab. Aceh Besar,Belanja Bunga Utang Pinjaman kepada Pemerintah Daerah Lain,0.0,1
88,Kab. Aceh Besar,Belanja Bunga Utang Pinjaman kepada Pemerintah Pusat,0.0,1
89,Kab. Aceh Besar,Belanja Bunga Utang Pinjaman melalui BLUD,0.0,1
90,Kab. Aceh Besar,Belanja Gaji dan Tunjangan ASN,37.469871520996094,1
91,Kab. Aceh Besar,Belanja Gaji dan Tunjangan DPRD,1.4309433698654175,1
92,Kab. Aceh Besar,Belanja Gaji dan Tunjangan KDH/WKDH,0.02327759936451912,1
93,Kab. Aceh Besar,Belanja Gaji dan Tunjangan MRP/MRPB,0.0,1
94,Kab. Aceh Besar,Belanja Hibah Bantuan Keuangan kepada Partai Politik,0.057407084852457047,1
95,Kab. Aceh Besar,Belanja Hibah Dana BOS,4.170517444610596,1
96,Kab. Aceh Besar,Belanja Hibah kepada BUMD,0.0,1
97,Kab. Aceh Besar,Belanja Hibah kepada BUMN,0.0,1
98,Kab. Aceh Besar,"Belanja Hibah kepada Badan, Lembaga, Organisasi Kemasyarakatan yang Berbadan Hukum Indonesia",3.7615418434143066,1
99,Kab. Aceh Besar,Belanja Hibah kepada Pemerintah Daerah Lainnya,0.0,1
100,Kab. Aceh Besar,Belanja Hibah kepada Pemerintah Pusat,0.46190717816352844,1
101,Kab. Aceh Besar,Belanja Jasa,19.89426040649414,1
102,Kab. Aceh Besar,Belanja Pegawai BLUD,0.0,1
103,Kab. Aceh Besar,Belanja Pegawai BOS,0.0,1
104,Kab. Aceh Besar,Belanja Pemeliharaan,2.319676160812378,1
105,Kab. Aceh Besar,Belanja Penerimaan Lainnya Pimpinan DPRD serta KDH/WKDH,0.06910385191440582,1
106,Kab. Aceh Besar,Belanja Penunjang Otonomi Khusus,0.0,1
107,Kab. Aceh Besar,Belanja Subsidi kepada BUMD,0.0,1
108,Kab. Aceh Besar,Belanja Subsidi kepada BUMN,0.0,1
109,Kab. Aceh Besar,Belanja Subsidi kepada Badan Usaha Milik Swasta,0.0,1
110,Kab. Aceh Besar,Belanja Subsidi kepada Koperasi,0.0,1
111,Kab. Aceh Besar,Belanja Tambahan Penghasilan ASN,5.688792705535889,1
112,Kab. Aceh Besar,Belanja Uang dan/atau Jasa untuk Diberikan kepada Pihak Ketiga/Pihak Lain/Masyarakat,0.023090651258826256,1
113,Kab. Aceh Besar,Tambahan Penghasilan berdasarkan Pertimbangan Objektif Lainnya ASN,6.1025495529174805,1
114,Kab. Aceh Jaya,index,6.0,3
115,Kab. Aceh Jaya,Belana Perjalanan Dinas,3.7481236457824707,3
116,Kab. Aceh Jaya,Belanja Bantuan Sosial kepada Individu,6.326607704162598,3
117,Kab. Aceh Jaya,Belanja Bantuan Sosial kepada Kelompok Masyarakat,0.8181707859039307,3
118,Kab. Aceh Jaya,Belanja Bantuan Sosial kepada Keluarga,0.4522106647491455,3
119,Kab. Aceh Jaya,"Belanja Bantuan Sosial kepada Lembaga Non Pemerintahan (Bidang Pendidikan, Keagamaan dan Bidang Lainnya)",0.26580825448036194,3
120,Kab. Aceh Jaya,Belanja Barang,7.520443916320801,3
