Variable,SHAP_abs,Corr,Sign
Belanja Bagi Hasil,0.25945073614178543,-0.21710450906017026,blue
"Belanja Modal Jalan, Jaringan, dan Irigasi",0.2804938987171706,-0.8032494424619754,blue
Retribusi Daerah,0.31879876537393625,0.38776192505348295,red
Belanja Modal Tanah,0.33207608150123896,0.4335625445016982,red
Belanja Hibah,0.4454202197318587,0.03694435324557844,red
Pendapatan Transfer Pemerintah Pusat,0.4814640876501682,-0.9268366737032772,blue
Belanja Pegawai,0.50344168120631,0.8616849261616915,red
Pendapatan Transfer Antar Daerah,0.721465525996614,0.763226004016857,red
Pajak Daerah,1.0639504728282856,0.5704839895423671,red
Belanja Bantuan Keuangan,1.2782154523325717,-0.8889397138481141,blue
