Variable,SHAP_abs,Corr,Sign
Belanja Bantuan Keuangan,0.17086506814628086,-0.1753619948711202,blue
Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,0.18593809036323924,-0.9153068323188394,blue
Belanja Bagi Hasil,0.20081804072515416,0.05751607244448321,red
Belanja Barang dan Jasa,0.20481432575398578,-0.7170719736619707,blue
Pendapatan Transfer Antar Daerah,0.20567723454783154,0.8105745811206052,red
Retribusi Daerah,0.2089609261985149,0.44238826757788724,red
Belanja Hibah,0.23272134988397963,-0.44019811058852915,blue
Belanja Pegawai,0.24179805628760356,0.8251272024815556,red
Belanja Modal Tanah,0.27014648919324247,0.8068824449561838,red
Pajak Daerah,0.45215520708188295,0.8440336673103599,red
