Provinsi,2020,2021
ACEH,69.93,69.96
SUMATERA UTARA,69.10,69.23
SUMATERA BARAT,69.47,69.59
RIAU,71.60,71.67
JAMBI,71.16,71.22
SUMATERA SELATAN,69.88,69.98
BENGKULU,69.35,69.42
LAMPUNG,70.65,70.73
KEP. BANGKA BELITUNG,70.64,70.73
KEPULAUAN RIAU,69.96,70.12
DKI JAKARTA,72.91,73.01
JAWA BARAT,73.04,73.23
JAWA TENGAH,74.37,74.47
D I YOGYAKARTA,74.99,75.04
JAWA TIMUR,71.30,71.38
BANTEN,69.96,70.02
NUSA TENGGARA BARAT,66.51,66.69
NUSA TENGGARA TIMUR,67.01,67.15
KALIMANTAN BARAT,70.69,70.76
KALIMANTAN TENGAH,69.74,69.79
KALIMANTAN SELATAN,68.66,68.83
KALIMANTAN TIMUR,74.33,74.61
KALIMANTAN UTARA,72.59,72.65
SULAWESI UTARA,71.69,71.76
SULAWESI TENGAH,68.69,68.83
SULAWESI SELATAN,70.57,70.66
SULAWESI TENGGARA,71.22,71.27
GORONTALO,68.07,68.19
MALUKU,65.98,66.09
MALUKU UTARA,68.33,68.45
PAPUA BARAT,66.02,66.14
PAPUA,65.79,65.93
