no,cluster,kab_kota,ipm
0,1,KONAWE KEPULAUAN,65.73
1,3,MOROWALI UTARA,68.48
2,1,MUSI RAWAS UTARA,64.93
3,3,ACEH BARAT,71.67
4,0,ACEH BARAT DAYA,66.99
5,3,ACEH BESAR,73.58
6,3,ACEH JAYA,69.84
7,3,ACEH SELATAN,67.44
8,3,ACEH SINGKIL,69.22
9,3,ACEH TAMIANG,69.48
10,3,ACEH TENGAH,73.37
11,1,ACEH TENGGARA,69.44
12,3,ACEH TIMUR,67.83
13,3,ACEH UTARA,69.46
14,3,AGAM,72.57
15,3,ALOR,61.37
16,3,ASAHAN,70.49
17,1,ASMAT,51.29
18,2,BADUNG,81.83
19,1,BALANGAN,69.11
20,0,BANDUNG,72.73
21,0,BANDUNG BARAT,68.29
22,3,BANGGAI,70.6
23,3,BANGGAI KEPULAUAN,65.61
24,3,BANGGAI LAUT,65.65
25,0,BANGKA,72.46
26,0,BANGKA BARAT,69.6
27,3,BANGKA SELATAN,67.06
28,3,BANGKA TENGAH,70.89
29,3,BANGKALAN,64.36
30,0,BANGLI,69.37
31,0,BANJAR,69.89
32,3,BANJARNEGARA,67.86
33,0,BANTAENG,68.99
34,0,BANTUL,80.28
35,0,BANYUMAS,72.44
36,1,BANYUWANGI,71.38
37,3,BARITO KUALA,66.64
38,3,BARITO SELATAN,70.54
39,3,BARITO TIMUR,71.47
40,3,BARITO UTARA,70.79
41,3,BARRU,71.13
42,0,BATANG,68.92
43,0,BATU BARA,68.58
44,2,BEKASI,74.45
45,0,BELITUNG,72.57
46,0,BELITUNG TIMUR,71.42
47,3,BELU,62.77
48,3,BENER MERIAH,73.27
49,1,BENGKALIS,73.58
50,1,BENGKAYANG,68.04
51,3,BENGKULU SELATAN,70.75
52,3,BENGKULU TENGAH,67.96
53,3,BENGKULU UTARA,69.28
54,1,BERAU,75.2
55,1,BIAK NUMFOR,72.33
56,3,BIMA,66.66
57,0,BINTAN,74.57
58,3,BIREUEN,72.33
59,3,BLITAR,71.05
60,3,BLORA,69.37
61,3,BOALEMO,66.42
62,2,BOGOR,70.6
63,0,BOJONEGORO,69.59
64,3,BOLAANG MONGONDOW,68.16
65,3,BOLAANG MONGONDOW SELATAN,65.42
66,3,BOLAANG MONGONDOW TIMUR,66.55
67,1,BOLAANG MONGONDOW UTARA,67.39
68,1,BOMBANA,66.25
69,3,BONDOWOSO,66.59
70,0,BONE,66.4
71,3,BONE BOLANGO,70.25
72,3,BOYOLALI,74.4
73,3,BREBES,66.32
74,0,BULELENG,72.56
75,3,BULUKUMBA,69.62
76,3,BULUNGAN,71.8
77,3,BUNGO,70.15
78,3,BUOL,68.25
79,3,BURU,69.33
80,1,BURU SELATAN,64.8
81,3,BUTON,66.32
82,1,BUTON SELATAN,64.99
83,1,BUTON TENGAH,64.55
84,1,BUTON UTARA,68.08
85,3,CIAMIS,70.93
86,0,CIANJUR,65.56
87,0,CILACAP,70.42
88,0,CIREBON,69.12
89,3,DAIRI,71.84
90,1,DEIYAI,49.96
91,2,DELI SERDANG,75.53
92,0,DEMAK,72.57
93,3,DHARMASRAYA,71.76
94,1,DOGIYAI,55
95,3,DOMPU,68.45
96,3,DONGGALA,65.72
97,1,EMPAT LAWANG,65.39
98,1,ENDE,67.3
99,3,ENREKANG,72.91
100,3,FAKFAK,68.52
101,3,FLORES TIMUR,64.22
102,3,GARUT,66.45
103,3,GAYO LUES,67.56
104,2,GIANYAR,77.7
105,3,GORONTALO,67.34
106,1,GORONTALO UTARA,65.21
107,0,GOWA,70.29
108,2,GRESIK,76.5
109,3,GROBOGAN,70.41
110,3,GUNUNG MAS,71.03
111,1,HALMAHERA BARAT,65.56
112,1,HALMAHERA SELATAN,64.19
113,2,HALMAHERA TENGAH,65.82
114,1,HALMAHERA TIMUR,67
